"No.","Time","Source","Destination","Protocol","Length","Info"
"18855","35.997654","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","95","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18856","36.000275","35.223.238.178","192.168.29.166","TCP","54","443  >  64216 [ACK] Seq=1 Ack=518 Win=42112 Len=0"
"18857","36.004938","35.223.238.178","192.168.29.166","TLSv1.3","1474","Server Hello, Change Cipher Spec, Application Data"
"18858","36.004938","35.223.238.178","192.168.29.166","TLSv1.3","1474","Application Data"
"18859","36.004938","35.223.238.178","192.168.29.166","TLSv1.3","391","Application Data, Application Data"
"18860","36.005304","192.168.29.166","35.223.238.178","TCP","54","64216  >  443 [ACK] Seq=518 Ack=2841 Win=131840 Len=0"
"18861","36.007112","2404:6800:4002:821::200e","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","UDP","92","443  >  52530 Len=30"
"18862","36.008415","192.168.29.166","35.223.238.178","TLSv1.3","551","Change Cipher Spec, Application Data, Application Data"
"18863","36.013830","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2404:6800:4002:821::200e","UDP","95","52530  >  443 Len=33"
"18864","36.050918","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","185","Protected Payload (KP0)"
"18865","36.060883","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","95","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18866","36.109104","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","91","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18867","36.126106","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","486","Protected Payload (KP0)"
"18868","36.140838","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","95","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18869","36.157030","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","165","Protected Payload (KP0)"
"18870","36.172386","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","95","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18871","36.206110","2405:200:1633:2934::13","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","QUIC","161","Protected Payload (KP0)"
"18872","36.219664","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2404:6800:4002:821::200e","UDP","91","52530  >  443 Len=29"
"18873","36.219830","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2405:200:1633:2934::13","QUIC","95","Protected Payload (KP0), DCID=e62f9edc1a21e88f"
"18874","36.236557","2404:6800:4002:821::200e","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","UDP","156","443  >  52530 Len=94"
"18875","36.240833","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","2404:6800:4002:821::200e","UDP","99","52530  >  443 Len=37"
"18876","36.261054","2404:6800:4002:821::200e","2405:201:681b:1166:40ad:f3d6:7ed6:6dc4","UDP","88","443  >  52530 Len=26"
"18877","36.280637","35.223.238.178","192.168.29.166","TLSv1.3","133","Application Data"
"18878","36.280637","35.223.238.178","192.168.29.166","TLSv1.3","133","Application Data"
